population,id,dos,p,q
1,203,0,51,0
1,203,1,53,0
1,203,5,49,0
1,203,10,48,0
1,201,0,46,0
1,201,1,48,0
1,201,5,44,0
1,201,10,43,0
1,202,0,56,0
1,202,1,58,0
1,202,5,54,0
1,202,10,53,0
1,107,0,56,40
1,107,1,58,40
1,107,5,54,40
1,107,10,53,40
1,158,0,56,39
1,158,1,58,39
1,158,5,54,39
1,158,10,53,39
1,49,0,46,39
1,49,1,48,39
1,49,5,44,39
1,49,10,43,39
1,3,0,46,43
1,3,1,48,43
1,3,5,44,43
1,3,10,43,43
1,114,0,56,35
1,114,1,58,35
1,114,5,54,35
1,114,10,53,35
1,85,0,46,-100
1,85,1,48,-100
1,85,5,44,-100
1,85,10,43,-100
1,164,0,56,41
1,164,1,58,38
1,164,5,54,41
1,164,10,53,41
1,110,0,56,33
1,110,1,58,33
1,110,5,54,33
1,110,10,53,35
1,112,0,56,36
1,112,1,58,36
1,112,5,54,36
1,112,10,53,36
1,72,0,46,-185
1,72,1,48,-185
1,72,5,44,-62
1,72,10,43,-88
1,147,0,56,40
1,147,1,58,40
1,147,5,54,40
1,147,10,53,40
1,9,0,46,40
1,9,1,48,40
1,9,5,44,40
1,9,10,43,40
1,123,0,56,40
1,123,1,58,40
1,123,5,54,40
1,123,10,53,40
1,43,0,46,42
1,43,1,48,42
1,43,5,44,42
1,43,10,43,42
1,68,0,46,-96
1,68,1,48,-96
1,68,5,44,-96
1,68,10,43,-91
1,145,0,56,36
1,145,1,58,36
1,145,5,54,36
1,145,10,53,36
1,89,0,46,-136
1,89,1,48,-136
1,89,5,44,-136
1,89,10,43,-136
1,156,0,56,39
1,156,1,58,39
1,156,5,54,39
1,156,10,53,39
1,124,0,56,43
1,124,1,58,43
1,124,5,54,43
1,124,10,53,43
1,106,0,56,35
1,106,1,58,35
1,106,5,54,35
1,106,10,53,35
1,13,0,46,39
1,13,1,48,39
1,13,5,44,39
1,13,10,43,39
1,150,0,56,35
1,150,1,58,35
