population,id,dos,p,q
1,150,5,54,37
1,150,10,53,37
1,172,0,56,39
1,172,1,58,35
1,172,5,54,39
1,172,10,53,39
1,1,0,46,44
1,1,1,48,44
1,1,5,44,44
1,1,10,43,44
1,178,0,56,43
1,178,1,58,43
1,178,5,54,43
1,178,10,53,43
1,129,0,56,39
1,129,1,58,39
1,129,5,54,39
1,129,10,53,39
1,39,0,46,40
1,39,1,48,40
1,39,5,44,40
1,39,10,43,40
1,149,0,56,40
1,149,1,58,40
1,149,5,54,40
1,149,10,53,40
1,130,0,56,40
1,130,1,58,40
1,130,5,54,40
1,130,10,53,42
1,104,0,56,38
1,104,1,58,38
1,104,5,54,38
1,104,10,53,38
1,140,0,56,40
1,140,1,58,40
1,140,5,54,40
1,140,10,53,40
1,78,0,46,-219
1,78,1,48,-219
1,78,5,44,-219
1,78,10,43,-70
1,100,0,46,-114
1,100,1,48,-114
1,100,5,44,-114
1,100,10,43,-114
1,132,0,56,37
1,132,1,58,37
1,132,5,54,37
1,132,10,53,37
1,148,0,56,43
1,148,1,58,43
1,148,5,54,43
1,148,10,53,43
1,168,0,56,36
1,168,1,58,36
1,168,5,54,36
1,168,10,53,36
1,120,0,56,39
1,120,1,58,39
1,120,5,54,39
1,120,10,53,39
1,46,0,46,37
1,46,1,48,37
1,46,5,44,40
1,46,10,43,40
1,109,0,56,39
1,109,1,58,36
1,109,5,54,39
1,109,10,53,39
1,167,0,56,33
1,167,1,58,33
1,167,5,54,39
1,167,10,53,39
1,159,0,56,42
1,159,1,58,42
1,159,5,54,42
1,159,10,53,42
1,62,0,46,39
1,62,1,48,39
1,62,5,44,39
1,62,10,43,39
1,151,0,56,42
1,151,1,58,42
1,151,5,54,42
1,151,10,53,42
1,160,0,56,34
1,160,1,58,34
1,160,5,54,34
1,160,10,53,34
1,135,0,56,32
1,135,1,58,32
1,135,5,54,32
1,135,10,53,32
1,155,0,56,40
1,155,1,58,40
1,155,5,54,40
1,155,10,53,40
1,175,0,56,42
1,175,1,58,42
1,175,5,54,42
1,175,10,53,42
1,36,0,46,38
1,36,1,48,38
1,36,5,44,38
1,36,10,43,38
1,199,0,56,-175
1,199,1,58,-175
1,199,5,54,-175
1,199,10,53,-175
1,41,0,46,43
1,41,1,48,43
1,41,5,44,43
1,41,10,43,43
1,101,0,56,40
1,101,1,58,40
1,101,5,54,40
1,101,10,53,40
1,96,0,46,-100
1,96,1,48,-100
1,96,5,44,-100
1,96,10,43,-100
1,144,0,56,40
1,144,1,58,40
1,144,5,54,40
1,144,10,53,40
1,69,0,46,-120
1,69,1,48,-120
1,69,5,44,-100
1,69,10,43,-100
1,21,0,46,40
1,21,1,48,40
1,21,5,44,40
1,21,10,43,40
1,154,0,56,39
1,154,1,58,39
1,154,5,54,41
1,154,10,53,41
1,108,0,56,36
1,108,1,58,36
1,108,5,54,36
1,108,10,53,36
1,91,0,46,-133
1,91,1,48,-133
1,91,5,44,-133
1,91,10,43,-133
1,189,0,56,38
1,189,1,58,38
1,189,5,54,38
1,189,10,53,38
1,15,0,46,40
1,15,1,48,40
1,15,5,44,40
1,15,10,43,40
1,163,0,56,38
1,163,1,58,38
1,163,5,54,38
1,163,10,53,38
1,30,0,46,40
1,30,1,48,40
1,30,5,44,40
1,30,10,43,40
1,133,0,56,38
1,133,1,58,38
1,133,5,54,38
1,133,10,53,38
1,33,0,46,40
1,33,1,48,40
1,33,5,44,40
1,33,10,43,40
1,14,0,46,39
1,14,1,48,39
1,14,5,44,40
1,14,10,43,40
1,196,0,56,-125
1,196,1,58,-149
1,196,5,54,-125
1,196,10,53,-125
1,116,0,56,40
1,116,1,58,40
1,116,5,54,42
1,116,10,53,42
1,64,0,46,38
1,64,1,48,38
1,64,5,44,38
1,64,10,43,38
1,177,0,56,42
1,177,1,58,40
1,177,5,54,42
1,177,10,53,42
1,98,0,46,-130
1,98,1,48,-130
1,98,5,44,-130
1,98,10,43,-130
1,165,0,56,41
1,165,1,58,41
1,165,5,54,41
1,165,10,53,41
1,12,0,46,41
1,12,1,48,41
1,12,5,44,41
1,12,10,43,41
1,174,0,56,36
1,174,1,58,36
1,174,5,54,36
1,174,10,53,39
1,131,0,56,35
1,131,1,58,35
1,131,5,54,38
1,131,10,53,38
1,161,0,56,36
1,161,1,58,36
1,161,5,54,36
1,161,10,53,36
1,32,0,46,38
1,32,1,48,38
1,32,5,44,38
1,32,10,43,38
1,94,0,46,-142
1,94,1,48,-142
1,94,5,44,-142
1,94,10,43,-142
1,86,0,46,-119
1,86,1,48,-119
1,86,5,44,-119
1,86,10,43,-119
1,24,0,46,39
1,24,1,48,39
1,24,5,44,39
1,24,10,43,39
1,38,0,46,42
1,38,1,48,42
1,38,5,44,42
1,38,10,43,42
1,82,0,46,-264
1,82,1,48,-264
1,82,5,44,-264
1,82,10,43,-264
1,54,0,46,42
1,54,1,48,42
1,54,5,44,42
1,54,10,43,42
1,186,0,56,37
1,186,1,58,37
1,186,5,54,37
1,186,10,53,37
1,194,0,56,-118
1,194,1,58,-97
1,194,5,54,-118
1,194,10,53,-118
1,171,0,56,41
1,171,1,58,41
1,171,5,54,41
1,171,10,53,41
1,125,0,56,42
1,125,1,58,42
1,125,5,54,42
1,125,10,53,42
1,138,0,56,37
1,138,1,58,34
1,138,5,54,37
1,138,10,53,37
1,26,0,46,40
1,26,1,48,40
1,26,5,44,40
1,26,10,43,40
1,170,0,56,39
1,170,1,58,39
1,170,5,54,39
1,170,10,53,39
1,45,0,46,39
1,45,1,48,39
1,45,5,44,39
1,45,10,43,39
1,37,0,46,38
1,37,1,48,38
1,37,5,44,38
1,37,10,43,38
1,115,0,56,32
1,115,1,58,32
1,115,5,54,32
1,115,10,53,32
1,67,0,46,-123
1,67,1,48,-123
1,67,5,44,-123
1,67,10,43,-123
1,181,0,56,40
1,181,1,58,37
1,181,5,54,40
1,181,10,53,40
1,90,0,46,-115
1,90,1,48,-102
1,90,5,44,-115
1,90,10,43,-115
1,58,0,46,36
1,58,1,48,36
1,58,5,44,36
1,58,10,43,36
1,134,0,56,35
1,134,1,58,35
1,134,5,54,35
1,134,10,53,35
1,28,0,46,40
1,28,1,48,40
1,28,5,44,40
1,28,10,43,40
1,73,0,46,-152
1,73,1,48,-152
1,73,5,44,-152
1,73,10,43,-92
1,142,0,56,38
1,142,1,58,38
1,142,5,54,38
1,142,10,53,38
1,179,0,56,39
1,179,1,58,39
1,179,5,54,39
1,179,10,53,39
1,53,0,46,38
1,53,1,48,38
1,53,5,44,38
1,53,10,43,38
1,65,0,46,40
1,65,1,48,40
1,65,5,44,40
1,65,10,43,40
1,188,0,56,40
1,188,1,58,40
1,188,5,54,40
1,188,10,53,40
1,35,0,46,36
1,35,1,48,36
1,35,5,44,36
1,35,10,43,36
1,190,0,56,35
1,190,1,58,35
1,190,5,54,35
1,190,10,53,35
1,51,0,46,40
1,51,1,48,40
1,51,5,44,40
1,51,10,43,41
1,34,0,46,39
1,34,1,48,39
1,34,5,44,39
1,34,10,43,39
1,103,0,56,37
1,103,1,58,37
1,103,5,54,37
1,103,10,53,37
1,87,0,46,-139
1,87,1,48,-139
1,87,5,44,-139
1,87,10,43,-139
1,11,0,46,37
1,11,1,48,37
1,11,5,44,37
1,11,10,43,37
1,162,0,56,38
1,162,1,58,38
1,162,5,54,38
1,162,10,53,38
1,81,0,46,-113
1,81,1,48,-113
1,81,5,44,-113
1,81,10,43,-86
1,42,0,46,39
1,42,1,48,39
1,42,5,44,39
1,42,10,43,39
1,117,0,56,37
1,117,1,58,37
1,117,5,54,37
1,117,10,53,37
1,143,0,56,40
1,143,1,58,38
1,143,5,54,40
1,143,10,53,40
1,97,0,46,-134
1,97,1,48,-134
1,97,5,44,-134
1,97,10,43,-134
1,76,0,46,-128
1,76,1,48,-128
1,76,5,44,-105
1,76,10,43,-105
1,88,0,46,-155
1,88,1,48,-155
1,88,5,44,-155
1,88,10,43,-155
1,111,0,56,43
1,111,1,58,43
1,111,5,54,43
1,111,10,53,43
1,77,0,46,-246
1,77,1,48,-246
1,77,5,44,-246
1,77,10,43,-246
1,10,0,46,41
1,10,1,48,41
1,10,5,44,41
1,10,10,43,41
1,119,0,56,33
1,119,1,58,33
1,119,5,54,33
1,119,10,53,33
1,6,0,46,39
1,6,1,48,39
1,6,5,44,39
1,6,10,43,39
1,197,0,56,-97
1,197,1,58,-97
1,197,5,54,-97
1,197,10,53,-97
1,105,0,56,38
1,105,1,58,38
1,105,5,54,38
1,105,10,53,38
1,152,0,56,35
1,152,1,58,33
1,152,5,54,35
1,152,10,53,35
1,70,0,46,-112
1,70,1,48,-112
1,70,5,44,-112
1,70,10,43,-112
1,187,0,56,42
1,187,1,58,42
1,187,5,54,42
1,187,10,53,42
1,60,0,46,40
1,60,1,48,40
1,60,5,44,40
1,60,10,43,40
1,157,0,56,35
1,157,1,58,35
1,157,5,54,37
1,157,10,53,37
1,146,0,56,40
1,146,1,58,40
1,146,5,54,40
1,146,10,53,40
1,79,0,46,-100
1,79,1,48,-100
1,79,5,44,-98
1,79,10,43,-98
1,7,0,46,41
1,7,1,48,41
1,7,5,44,41
1,7,10,43,41
1,84,0,46,-119
1,84,1,48,-101
1,84,5,44,-119
1,84,10,43,-119
1,56,0,46,41
1,56,1,48,41
1,56,5,44,41
1,56,10,43,41
1,66,0,46,-149
1,66,1,48,-149
1,66,5,44,-149
1,66,10,43,-149
1,169,0,56,36
1,169,1,58,36
1,169,5,54,36
1,169,10,53,36
1,8,0,46,38
1,8,1,48,38
1,8,5,44,38
1,8,10,43,38
1,191,0,56,-107
1,191,1,58,-107
1,191,5,54,-107
1,191,10,53,-107
1,153,0,56,38
1,153,1,58,38
1,153,5,54,38
1,153,10,53,40
1,176,0,56,36
1,176,1,58,36
1,176,5,54,36
1,176,10,53,36
1,4,0,46,41
1,4,1,48,41
1,4,5,44,41
1,4,10,43,41
1,61,0,46,38
1,61,1,48,38
1,61,5,44,38
1,61,10,43,38
1,29,0,46,41
1,29,1,48,41
1,29,5,44,41
1,29,10,43,41
1,183,0,56,38
1,183,1,58,38
1,183,5,54,38
1,183,10,53,38
1,200,0,56,-129
1,200,1,58,-129
1,200,5,54,-129
1,200,10,53,-129
1,102,0,56,39
1,102,1,58,39
1,102,5,54,39
1,102,10,53,39
1,193,0,56,-148
1,193,1,58,-148
1,193,5,54,-148
1,193,10,53,-148
1,118,0,56,39
1,118,1,58,39
1,118,5,54,39
1,118,10,53,39
1,95,0,46,-119
1,95,1,48,-119
1,95,5,44,-119
1,95,10,43,-119
1,192,0,56,-119
1,192,1,58,-97
1,192,5,54,-119
1,192,10,53,-119
1,137,0,56,38
1,137,1,58,38
1,137,5,54,38
1,137,10,53,38
1,55,0,46,38
1,55,1,48,38
1,55,5,44,38
1,55,10,43,38
1,27,0,46,38
1,27,1,48,38
1,27,5,44,38
1,27,10,43,38
1,57,0,46,41
1,57,1,48,41
1,57,5,44,41
1,57,10,43,41
1,92,0,46,-108
1,92,1,48,-108
1,92,5,44,-108
1,92,10,43,-108
1,141,0,56,38
1,141,1,58,38
1,141,5,54,38
1,141,10,53,38
1,180,0,56,41
1,180,1,58,41
1,180,5,54,41
1,180,10,53,41
1,18,0,46,39
1,18,1,48,39
1,18,5,44,39
1,18,10,43,39
1,63,0,46,37
1,63,1,48,37
1,63,5,44,38
1,63,10,43,38
1,74,0,46,-166
1,74,1,48,-166
1,74,5,44,-97
1,74,10,43,-110
1,173,0,56,40
1,173,1,58,40
1,173,5,54,40
1,173,10,53,40
1,182,0,56,42
1,182,1,58,42
1,182,5,54,42
1,182,10,53,42
1,195,0,56,-112
1,195,1,58,-127
1,195,5,54,-112
1,195,10,53,-112
1,121,0,56,36
1,121,1,58,36
1,121,5,54,36
1,121,10,53,36
1,16,0,46,39
1,16,1,48,39
1,16,5,44,39
1,16,10,43,39
1,23,0,46,39
1,23,1,48,39
1,23,5,44,39
1,23,10,43,39
1,59,0,46,38
1,59,1,48,38
1,59,5,44,38
1,59,10,43,38
1,93,0,46,-139
1,93,1,48,-139
1,93,5,44,-139
1,93,10,43,-139
1,126,0,56,36
1,126,1,58,36
1,126,5,54,36
1,126,10,53,36
1,184,0,56,38
1,184,1,58,38
1,184,5,54,38
1,184,10,53,38
1,19,0,46,41
1,19,1,48,41
1,19,5,44,41
1,19,10,43,41
1,83,0,46,-100
1,83,1,48,-100
1,83,5,44,-90
1,83,10,43,-90
1,75,0,46,-92
1,75,1,48,-92
1,75,5,44,-92
1,75,10,43,-86
1,122,0,56,38
1,122,1,58,33
1,122,5,54,38
1,122,10,53,38
1,5,0,46,42
1,5,1,48,42
1,5,5,44,42
1,5,10,43,42
1,198,0,56,-114
1,198,1,58,-114
1,198,5,54,-114
1,198,10,53,-114
1,99,0,46,-109
1,99,1,48,-109
1,99,5,44,-109
1,99,10,43,-109
1,166,0,56,36
1,166,1,58,36
1,166,5,54,39
1,166,10,53,39
1,2,0,46,38
1,2,1,48,38
1,2,5,44,38
1,2,10,43,40
1,113,0,56,38
1,113,1,58,38
1,113,5,54,38
1,113,10,53,38
1,139,0,56,39
1,139,1,58,39
1,139,5,54,39
1,139,10,53,39
1,52,0,46,36
1,52,1,48,36
1,52,5,44,36
1,52,10,43,36
1,17,0,46,39
1,17,1,48,39
1,17,5,44,39
1,17,10,43,39
1,47,0,46,41
1,47,1,48,41
1,47,5,44,41
1,47,10,43,41
1,127,0,56,39
1,127,1,58,39
1,127,5,54,39
1,127,10,53,39
1,22,0,46,40
1,22,1,48,40
1,22,5,44,40
1,22,10,43,40
1,71,0,46,-200
1,71,1,48,-200
1,71,5,44,-200
1,71,10,43,-200
1,128,0,56,37
1,128,1,58,37
1,128,5,54,37
1,128,10,53,37
1,50,0,46,42
1,50,1,48,42
1,50,5,44,42
1,50,10,43,42
1,136,0,56,41
1,136,1,58,41
1,136,5,54,41
1,136,10,53,41
1,20,0,46,40
1,20,1,48,40
1,20,5,44,40
1,20,10,43,40
1,40,0,46,42
1,40,1,48,42
1,40,5,44,42
1,40,10,43,42
1,185,0,56,41
1,185,1,58,41
1,185,5,54,41
1,185,10,53,41
1,48,0,46,39
1,48,1,48,39
1,48,5,44,39
1,48,10,43,41
1,44,0,46,37
1,44,1,48,37
1,44,5,44,37
1,44,10,43,37
1,31,0,46,38
1,31,1,48,38
1,31,5,44,38
1,31,10,43,38
1,25,0,46,42
1,25,1,48,42
1,25,5,44,42
1,25,10,43,42
1,80,0,46,-99
1,80,1,48,-99
1,80,5,44,-87
1,80,10,43,-89
2,203,0,57,0
2,203,1,55,0
2,203,5,50,0
2,203,10,65,0
2,201,0,52,0
2,201,1,50,0
2,201,5,45,0
2,201,10,60,0
2,202,0,62,0
2,202,1,60,0
2,202,5,55,0
2,202,10,70,0
2,40,0,52,36
2,40,1,50,36
2,40,5,45,36
2,40,10,60,33
2,90,0,52,-118
2,90,1,50,-118
2,90,5,45,-118
2,90,10,60,-125
2,68,0,52,-159
2,68,1,50,-138
2,68,5,45,-138
2,68,10,60,-159
2,150,0,62,37
2,150,1,60,37
2,150,5,55,37
2,150,10,70,37
2,135,0,62,38
2,135,1,60,38
2,135,5,55,41
2,135,10,70,38
2,190,0,62,35
2,190,1,60,35
2,190,5,55,38
2,190,10,70,35
2,186,0,62,35
2,186,1,60,35
2,186,5,55,35
2,186,10,70,31
2,37,0,52,42
2,37,1,50,42
2,37,5,45,42
2,37,10,60,39
2,195,0,62,-153
2,195,1,60,-153
2,195,5,55,-153
2,195,10,70,-153
2,187,0,62,40
2,187,1,60,40
2,187,5,55,40
2,187,10,70,40
2,101,0,62,42
2,101,1,60,42
2,101,5,55,42
2,101,10,70,42
2,61,0,52,36
2,61,1,50,36
2,61,5,45,36
2,61,10,60,36
2,124,0,62,40
2,124,1,60,40
2,124,5,55,40
2,124,10,70,39
2,58,0,52,41
2,58,1,50,41
2,58,5,45,41
2,58,10,60,38
2,191,0,62,-127
2,191,1,60,-127
2,191,5,55,-127
2,191,10,70,-127
2,154,0,62,35
2,154,1,60,35
2,154,5,55,40
2,154,10,70,35
2,4,0,52,39
2,4,1,50,39
2,4,5,45,39
2,4,10,60,39
2,49,0,52,43
2,49,1,50,43
2,49,5,45,43
2,49,10,60,40
2,14,0,52,39
2,14,1,50,39
2,14,5,45,39
2,14,10,60,38
2,33,0,52,39
2,33,1,50,39
2,33,5,45,39
2,33,10,60,39
2,27,0,52,40
2,27,1,50,40
2,27,5,45,40
2,27,10,60,40
2,11,0,52,40
2,11,1,50,40
2,11,5,45,40
2,11,10,60,40
2,9,0,52,39
2,9,1,50,39
2,9,5,45,39
2,9,10,60,39
2,105,0,62,40
2,105,1,60,40
2,105,5,55,43
2,105,10,70,40
2,188,0,62,35
2,188,1,60,35
2,188,5,55,35
2,188,10,70,33
2,183,0,62,37
2,183,1,60,37
2,183,5,55,37
2,183,10,70,37
2,3,0,52,42
2,3,1,50,42
2,3,5,45,42
2,3,10,60,42
2,196,0,62,-149
2,196,1,60,-149
2,196,5,55,-149
2,196,10,70,-171
2,177,0,62,41
2,177,1,60,41
2,177,5,55,41
2,177,10,70,37
2,171,0,62,34
2,171,1,60,34
2,171,5,55,38
2,171,10,70,34
2,200,0,62,-214
2,200,1,60,-214
2,200,5,55,-214
2,200,10,70,-214
2,163,0,62,39
2,163,1,60,39
2,163,5,55,39
2,163,10,70,39
2,122,0,62,46
2,122,1,60,46
2,122,5,55,46
2,122,10,70,46
2,170,0,62,39
2,170,1,60,39
2,170,5,55,39
2,170,10,70,39
2,112,0,62,34
2,112,1,60,34
2,112,5,55,34
2,112,10,70,32
2,99,0,52,-143
2,99,1,50,-143
2,99,5,45,-143
2,99,10,60,-170
2,28,0,52,43
2,28,1,50,43
2,28,5,45,43
2,28,10,60,43
2,71,0,52,-140
2,71,1,50,-140
2,71,5,45,-140
2,71,10,60,-185
2,120,0,62,36
2,120,1,60,36
2,120,5,55,36
2,120,10,70,34
2,35,0,52,40
2,35,1,50,40
2,35,5,45,40
2,35,10,60,40
2,76,0,52,-122
2,76,1,50,-122
2,76,5,45,-122
2,76,10,60,-142
2,10,0,52,40
2,10,1,50,40
2,10,5,45,40
2,10,10,60,38
2,169,0,62,36
2,169,1,60,36
2,169,5,55,36
2,169,10,70,35
2,63,0,52,39
2,63,1,50,39
2,63,5,45,39
2,63,10,60,39
2,148,0,62,42
2,148,1,60,42
2,148,5,55,42
2,148,10,70,42
2,42,0,52,42
2,42,1,50,42
2,42,5,45,42
2,42,10,60,42
2,147,0,62,42
2,147,1,60,42
2,147,5,55,42
2,147,10,70,42
2,32,0,52,42
2,32,1,50,42
2,32,5,45,42
2,32,10,60,40
2,29,0,52,39
2,29,1,50,39
2,29,5,45,39
2,29,10,60,36
2,129,0,62,42
2,129,1,60,42
2,129,5,55,42
2,129,10,70,42
2,153,0,62,36
2,153,1,60,39
2,153,5,55,39
2,153,10,70,36
2,178,0,62,35
2,178,1,60,38
2,178,5,55,38
2,178,10,70,35
2,182,0,62,34
2,182,1,60,34
2,182,5,55,36
2,182,10,70,34
2,180,0,62,36
2,180,1,60,36
2,180,5,55,36
2,180,10,70,35
2,139,0,62,40
2,139,1,60,40
2,139,5,55,40
2,139,10,70,36
2,84,0,52,-90
2,84,1,50,-90
2,84,5,45,-90
2,84,10,60,-91
2,119,0,62,41
2,119,1,60,41
2,119,5,55,41
2,119,10,70,41
2,126,0,62,40
2,126,1,60,40
2,126,5,55,45
2,126,10,70,40
2,137,0,62,38
2,137,1,60,38
2,137,5,55,38
2,137,10,70,38
2,142,0,62,40
2,142,1,60,40
2,142,5,55,40
2,142,10,70,38
2,149,0,62,38
2,149,1,60,38
2,149,5,55,38
2,149,10,70,38
2,181,0,62,38
2,181,1,60,38
2,181,5,55,38
2,181,10,70,36
2,155,0,62,37
2,155,1,60,37
2,155,5,55,37
2,155,10,70,32
2,81,0,52,-105
2,81,1,50,-132
2,81,5,45,-132
2,81,10,60,-156
2,88,0,52,-123
2,88,1,50,-123
2,88,5,45,-123
2,88,10,60,-140
2,127,0,62,38
2,127,1,60,38
2,127,5,55,38
2,127,10,70,36
2,79,0,52,-105
2,79,1,50,-98
2,79,5,45,-98
2,79,10,60,-105
2,95,0,52,-103
2,95,1,50,-103
2,95,5,45,-103
2,95,10,60,-113
2,5,0,52,38
2,5,1,50,38
2,5,5,45,38
2,5,10,60,36
2,172,0,62,40
2,172,1,60,40
2,172,5,55,40
2,172,10,70,40
2,31,0,52,40
2,31,1,50,40
2,31,5,45,40
2,31,10,60,37
2,56,0,52,40
2,56,1,50,40
2,56,5,45,40
2,56,10,60,40
2,72,0,52,-170
2,72,1,50,-170
2,72,5,45,-170
2,72,10,60,-170
2,157,0,62,43
2,157,1,60,43
2,157,5,55,43
2,157,10,70,43
2,104,0,62,37
2,104,1,60,37
2,104,5,55,37
2,104,10,70,37
2,21,0,52,39
2,21,1,50,39
2,21,5,45,39
2,21,10,60,36
2,73,0,52,-122
2,73,1,50,-122
2,73,5,45,-122
2,73,10,60,-122
2,189,0,62,39
2,189,1,60,39
2,189,5,55,39
2,189,10,70,39
2,52,0,52,40
2,52,1,50,42
2,52,5,45,42
2,52,10,60,40
2,198,0,62,-124
2,198,1,60,-124
2,198,5,55,-124
2,198,10,70,-88
2,179,0,62,32
2,179,1,60,32
2,179,5,55,32
2,179,10,70,29
2,151,0,62,40
2,151,1,60,42
2,151,5,55,42
2,151,10,70,40
2,159,0,62,35
2,159,1,60,35
2,159,5,55,35
2,159,10,70,35
2,19,0,52,39
2,19,1,50,39
2,19,5,45,39
2,19,10,60,39
2,64,0,52,38
2,64,1,50,38
2,64,5,45,38
2,64,10,60,37
2,113,0,62,34
2,113,1,60,34
2,113,5,55,37
2,113,10,70,34
2,80,0,52,-127
2,80,1,50,-127
2,80,5,45,-127
2,80,10,60,-156
2,106,0,62,40
2,106,1,60,40
2,106,5,55,40
2,106,10,70,40
2,7,0,52,39
2,7,1,50,39
2,7,5,45,39
2,7,10,60,39
2,91,0,52,-119
2,91,1,50,-119
2,91,5,45,-119
2,91,10,60,-140
2,166,0,62,39
2,166,1,60,39
2,166,5,55,39
2,166,10,70,35
2,62,0,52,39
2,62,1,50,39
2,62,5,45,39
2,62,10,60,36
2,15,0,52,42
2,15,1,50,42
2,15,5,45,42
2,15,10,60,42
2,162,0,62,39
2,162,1,60,39
2,162,5,55,41
2,162,10,70,37
2,160,0,62,38
2,160,1,60,41
2,160,5,55,41
2,160,10,70,38
2,168,0,62,39
2,168,1,60,39
2,168,5,55,39
2,168,10,70,36
2,121,0,62,36
2,121,1,60,36
2,121,5,55,36
2,121,10,70,36
2,193,0,62,-142
2,193,1,60,-142
2,193,5,55,-142
2,193,10,70,-142
2,96,0,52,-168
2,96,1,50,-168
2,96,5,45,-168
2,96,10,60,-168
2,47,0,52,42
2,47,1,50,42
2,47,5,45,43
2,47,10,60,42
2,165,0,62,37
2,165,1,60,37
2,165,5,55,37
2,165,10,70,34
2,22,0,52,42
2,22,1,50,42
2,22,5,45,42
2,22,10,60,42
2,158,0,62,37
2,158,1,60,37
2,158,5,55,37
2,158,10,70,37
2,51,0,52,40
2,51,1,50,40
2,51,5,45,40
2,51,10,60,38
2,16,0,52,40
2,16,1,50,40
2,16,5,45,40
2,16,10,60,36
2,103,0,62,39
2,103,1,60,39
2,103,5,55,39
2,103,10,70,38
2,70,0,52,-142
2,70,1,50,-142
2,70,5,45,-142
2,70,10,60,-142
2,77,0,52,-173
2,77,1,50,-173
2,77,5,45,-173
2,77,10,60,-173
2,164,0,62,42
2,164,1,60,42
2,164,5,55,42
2,164,10,70,42
2,46,0,52,43
2,46,1,50,43
2,46,5,45,43
2,46,10,60,41
2,174,0,62,38
2,174,1,60,38
2,174,5,55,38
2,174,10,70,38
2,133,0,62,38
2,133,1,60,38
2,133,5,55,38
2,133,10,70,36
2,87,0,52,-131
2,87,1,50,-131
2,87,5,45,-131
2,87,10,60,-131
2,82,0,52,-205
2,82,1,50,-205
2,82,5,45,-101
2,82,10,60,-205
2,78,0,52,-114
2,78,1,50,-114
2,78,5,45,-114
2,78,10,60,-128
2,107,0,62,36
2,107,1,60,36
2,107,5,55,36
2,107,10,70,35
2,45,0,52,38
2,45,1,50,40
2,45,5,45,40
2,45,10,60,38
2,89,0,52,-90
2,89,1,50,-90
2,89,5,45,-90
2,89,10,60,-90
2,55,0,52,42
2,55,1,50,42
2,55,5,45,42
2,55,10,60,42
2,66,0,52,-113
2,66,1,50,-113
2,66,5,45,-113
2,66,10,60,-113
2,44,0,52,38
2,44,1,50,40
2,44,5,45,40
2,44,10,60,38
2,123,0,62,38
2,123,1,60,38
2,123,5,55,42
2,123,10,70,38
2,138,0,62,39
2,138,1,60,39
2,138,5,55,41
2,138,10,70,39
2,102,0,62,37
2,102,1,60,37
2,102,5,55,37
2,102,10,70,37
2,69,0,52,-112
2,69,1,50,-112
2,69,5,45,-112
2,69,10,60,-123
2,130,0,62,36
2,130,1,60,36
2,130,5,55,36
2,130,10,70,35
2,132,0,62,42
2,132,1,60,42
2,132,5,55,42
2,132,10,70,37
2,83,0,52,-122
2,83,1,50,-122
2,83,5,45,-122
2,83,10,60,-138
2,140,0,62,42
2,140,1,60,42
2,140,5,55,42
2,140,10,70,42
2,145,0,62,42
2,145,1,60,42
2,145,5,55,42
2,145,10,70,39
2,194,0,62,-126
2,194,1,60,-126
2,194,5,55,-126
2,194,10,70,-126
2,41,0,52,39
2,41,1,50,39
2,41,5,45,39
2,41,10,60,37
2,53,0,52,36
2,53,1,50,36
2,53,5,45,38
2,53,10,60,36
2,23,0,52,37
2,23,1,50,37
2,23,5,45,37
2,23,10,60,37
2,36,0,52,41
2,36,1,50,41
2,36,5,45,41
2,36,10,60,41
2,192,0,62,-160
2,192,1,60,-160
2,192,5,55,-160
