pop,dos,id,draw,blocked,p,q
1,0,159,86.7,0,72,41
1,1,159,86.7,0,67,41
1,5,159,86.7,0,61,41
1,10,159,86.7,0,64,41
1,0,62,52.0,0,43,40
1,1,62,52.0,0,43,40
1,5,62,52.0,0,44,39
1,10,62,52.0,0,43,40
1,0,151,53.4,0,72,42
1,1,151,53.4,0,67,42
1,5,151,53.4,0,61,42
1,10,151,53.4,0,64,42
1,0,160,85.7,0,72,36
1,1,160,85.7,0,67,36
1,5,160,85.7,0,61,36
1,10,160,85.7,0,64,36
1,0,135,72.2,0,72,41
1,1,135,72.2,0,67,41
1,5,135,72.2,0,61,42
1,10,135,72.2,0,64,42
1,0,155,67.2,0,72,42
1,1,155,67.2,0,67,42
1,5,155,67.2,0,61,45
1,10,155,67.2,0,64,42
1,0,175,60.6,0,72,42
1,1,175,60.6,0,67,42
1,5,175,60.6,0,61,42
1,10,175,60.6,0,64,42
1,0,36,50.3,0,43,40
1,1,36,50.3,0,43,40
1,5,36,50.3,0,44,40
1,10,36,50.3,0,43,40
1,0,199,91.6,0,72,-194
1,1,199,91.6,0,67,-194
1,5,199,91.6,0,61,-194
1,10,199,91.6,0,64,-194
1,0,41,10.9,0,43,37
1,1,41,10.9,0,43,37
1,5,41,10.9,0,44,37
1,10,41,10.9,0,43,37
1,0,101,18.2,0,72,41
1,1,101,18.2,0,67,41
1,5,101,18.2,0,61,41
1,10,101,18.2,0,64,41
1,0,96,70.2,0,43,-132
1,1,96,70.2,0,43,-132
1,5,96,70.2,0,44,-132
1,10,96,70.2,0,43,-132
1,0,144,47.7,0,72,41
1,1,144,47.7,0,67,42
1,5,144,47.7,0,61,42
1,10,144,47.7,0,64,42
1,0,69,82.4,0,43,-105
1,1,69,82.4,0,43,-105
1,5,69,82.4,0,44,-105
1,10,69,82.4,0,43,-105
1,0,21,61.2,0,43,40
1,1,21,61.2,0,43,40
1,5,21,61.2,0,44,39
1,10,21,61.2,0,43,40
1,0,154,37.8,0,72,38
1,1,154,37.8,0,67,38
1,5,154,37.8,0,61,40
1,10,154,37.8,0,64,38
1,0,108,72.7,0,72,40
1,1,108,72.7,0,67,40
1,5,108,72.7,0,61,40
1,10,108,72.7,0,64,40
1,0,91,16.9,0,43,-100
1,1,91,16.9,0,43,-100
1,5,91,16.9,0,44,-91
1,10,91,16.9,0,43,-100
1,0,189,77.2,0,72,37
1,1,189,77.2,0,67,37
1,5,189,77.2,0,61,38
1,10,189,77.2,0,64,38
1,0,15,31.1,0,43,39
1,1,15,31.1,0,43,39
1,5,15,31.1,0,44,39
1,10,15,31.1,0,43,39
1,0,163,55.3,0,72,35
1,1,163,55.3,0,67,37
1,5,163,55.3,0,61,37
1,10,163,55.3,0,64,37
1,0,30,6.5,0,43,39
1,1,30,6.5,0,43,39
1,5,30,6.5,0,44,39
1,10,30,6.5,1,43,39
1,0,133,20.8,0,72,35
1,1,133,20.8,0,67,35
1,5,133,20.8,0,61,35
1,10,133,20.8,0,64,35
1,0,33,1.9,0,43,41
1,1,33,1.9,0,43,41
